"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7"
"Observations","1715","1715","1715","1715","1715","1715","1715"
"Parameters","3","5","6","22","25","28","31"
"Deviance","2350.57","2345.64","2248.33","2164.08","2131.26","2126.88","2082.03"
"R.n","0.014","0.018","0.091","0.151","0.173","0.176","0.206"
"Chi Square","19","24","121","205","238","242","287"
"Degrees of Freedom","2","4","5","21","24","27","30"
"p","9e-05","1e-04","0.000","0.000","0.000","0.000","0.000"
"Residual Deviance","1712","1710","1709","1693","1690","1687","1684"
"AIC","2357","2356","2260","2208","2181","2183","2144"
"Accuracy","52.7%","53.5%","61.7%","64.3%","64.2%","64.5%","65.3%"
